DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (px2)             0.0321214
Formation Factor (ratio)                16.9433861
Cementation Factor (ratio)              1.9621598
pore density (1/px3)                    0.0002908
Tortuosity (ratio)                      1.2430909
Average Coordination Number             4.742775
Average Throat Radius (px)              2.673661
Average Pore Radius (px)                5.13837
Average Throat Length (px)              15.4859619
Pore to Throat Aspect ratio             3.565485
Specific Surface (1/px)                 0.1543706
Pore Sphericity (ratio)                 0.6998004
Grain Sphericity (ratio)                0.8364815
Average Grain Radius (px)               8.2932272
Relative Young Module (ratio)           0.3068074

__________________________________________________
       ### Functions and distributions ###
__________________________________________________

0.25                                    0.8919317
0.26                                    0.8919317
0.27                                    0.8919317
0.28                                    0.8919317
0.29                                    0.750414
0.3                                     0.6404235
0.31                                    0.6358137
0.32                                    0.6358137
0.33                                    0.6358137
0.34                                    0.6352968
0.35                                    0.6352968
0.36                                    0.6352968
0.37                                    0.5234962
0.38                                    0.5234962
0.39                                    0.5234962
0.4                                     0.5114867
0.41                                    0.5114867
0.42                                    0.5114867
0.43                                    0.5114867
0.44                                    0.5114867
0.45                                    0.5114867
0.46                                    0.5114867
0.47                                    0.5114867
0.48                                    0.5114867
0.49                                    0.5114867
0.5                                     0.5114867
0.51                                    0.5114867
0.52                                    0.5114867
0.53                                    0.5114867
0.54                                    0.5114867
0.55                                    0.419473
0.56                                    0.419473
0.57                                    0.419473
0.58                                    0.3476595
0.59                                    0.3476595
0.6                                     0.3476595
0.61                                    0.3476595
0.62                                    0.3476595
0.63                                    0.3476595
0.64                                    0.3476595
0.65                                    0.3476595
0.66                                    0.3476595
0.67                                    0.3476595
0.68                                    0.3476595
0.69                                    0.3476595
0.7                                     0.3476595
0.71                                    0.3476595
0.72                                    0.3476595
0.73                                    0.3476595
0.74                                    0.3476595
0.75                                    0.3476595
0.76                                    0.3476595
0.77                                    0.3476595
0.78                                    0.3476595
0.79                                    0.3476595
0.8                                     0.3476595
0.81                                    0.3476595
0.82                                    0.3476595
0.83                                    0.3476595
0.84                                    0.3476595
0.85                                    0.2053116
0.86                                    0.2053116
0.87                                    0.2053116
0.88                                    0.2053116
0.89                                    0.2053116
0.9                                     0.2053116
0.91                                    0.1071964
0.92                                    0.1063421
0.93                                    0.0203553
0.94                                    0.0135018
0.95                                    0.0075756
0.96                                    0.0054256
0.97                                    0.0052246
0.98                                    0.0007962
0.99                                    0.0007774
1.0                                     0.0


# Two-point Correlation Function (1/px)
--------------------------------------------------
lag (px)                                Value
--------------------------------------------------
0.5                                     0.2365294
1.0                                     0.2305201
1.5                                     0.209096
2.0                                     0.1876719
2.5                                     0.1750286
3.0                                     0.1640395
3.5                                     0.1541158
4.0                                     0.145774
4.5                                     0.1374322
5.0                                     0.1284457
5.5                                     0.1194347
6.0                                     0.1123672
6.5                                     0.1070624
7.0                                     0.101804
7.5                                     0.0970437
8.0                                     0.0922834
8.5                                     0.0883685
9.0                                     0.0849164
9.5                                     0.0815849
10.0                                    0.0787149
10.5                                    0.0758448
11.0                                    0.0729958
11.5                                    0.070153
12.0                                    0.0677054
12.5                                    0.0660629
13.0                                    0.0644204
13.5                                    0.0629661
14.0                                    0.061535
14.5                                    0.060312
15.0                                    0.0593423
15.5                                    0.0583742
16.0                                    0.0575374
16.5                                    0.0567007
17.0                                    0.0560292
17.5                                    0.0554809
18.0                                    0.0549617
18.5                                    0.0546313
19.0                                    0.0543009
19.5                                    0.0540096
20.0                                    0.0537356
20.5                                    0.0534989
21.0                                    0.0533709
21.5                                    0.0532429
22.0                                    0.0531756
22.5                                    0.0531219
23.0                                    0.0530984
23.5                                    0.0531244
24.0                                    0.0531504
24.5                                    0.0531777
25.0                                    0.0532051
25.5                                    0.0532249
26.0                                    0.0532373
26.5                                    0.0532495
27.0                                    0.0532597
27.5                                    0.0532699
28.0                                    0.053258
28.5                                    0.0532328
29.0                                    0.053206
29.5                                    0.0531725
30.0                                    0.0531389
30.5                                    0.0530838
31.0                                    0.0530213
31.5                                    0.0529601
32.0                                    0.0529016
32.5                                    0.0528431
33.0                                    0.0527798
33.5                                    0.0527158
34.0                                    0.0526437
34.5                                    0.0525607
35.0                                    0.0524776
35.5                                    0.0524074
36.0                                    0.0523374
36.5                                    0.0522628
37.0                                    0.0521844
37.5                                    0.0521072
38.0                                    0.0520387
38.5                                    0.0519703
39.0                                    0.0519022
39.5                                    0.0518342
40.0                                    0.051769
40.5                                    0.0517125
41.0                                    0.0516561
41.5                                    0.0515939
42.0                                    0.0515303
42.5                                    0.0514765
43.0                                    0.0514407
43.5                                    0.051405
44.0                                    0.05138
44.5                                    0.051356
45.0                                    0.0513388
45.5                                    0.051329
46.0                                    0.0513193
46.5                                    0.0513097
47.0                                    0.0513002
47.5                                    0.0512932
48.0                                    0.0512878
48.5                                    0.051284
49.0                                    0.0512887
49.5                                    0.0512933
50.0                                    0.0512946


# Pore Radius Distribution (px)
--------------------------------------------------
Cumulative probability                  Value
--------------------------------------------------
0.01                                    2.1215689
0.02                                    2.2545033
0.03                                    2.3302138
0.04                                    2.4013002
0.05                                    2.4942591
0.06                                    2.5687582
0.07                                    2.6391699
0.08                                    2.6951013
0.09                                    2.7592943
0.1                                     2.820632
0.11                                    2.8889782
0.12                                    2.9450889
0.13                                    3.0254488
0.14                                    3.1100018
0.15                                    3.1744761
0.16                                    3.2364328
0.17                                    3.2887628
0.18                                    3.3677807
0.19                                    3.4229999
0.2                                     3.5026329
0.21                                    3.5663311
0.22                                    3.6217752
0.23                                    3.669672
0.24                                    3.727838
0.25                                    3.7842436
0.26                                    3.8336089
0.27                                    3.8870087
0.28                                    3.9389801
0.29                                    3.9946084
0.3                                     4.0487294
0.31                                    4.0871992
0.32                                    4.1296301
0.33                                    4.171206
0.34                                    4.2119699
0.35                                    4.2694931
0.36                                    4.3084269
0.37                                    4.3550768
0.38                                    4.4007483
0.39                                    4.4454908
0.4                                     4.4893508
0.41                                    4.5323696
0.42                                    4.5783868
0.43                                    4.6160398
0.44                                    4.6604276
