DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             1.1405379
Formation Factor (ratio)                14.7386634
Cementation Factor (ratio)              1.9042206
pore density (1/um3)                    1.7e-06
Tortuosity (ratio)                      1.2443834
Average Coordination Number             4.478728
Average Throat Radius (um)              15.0556575
Average Pore Radius (um)                26.9941965
Average Throat Length (um)              85.5445165
Pore to Throat Aspect ratio             3.4341114
Specific Surface (1/um)                 0.0254289
Pore Sphericity (ratio)                 0.7200877
Grain Sphericity (ratio)                0.8562742
Average Grain Radius (um)               45.2546802
Relative Young Module (ratio)           0.3019229

__________________________________________________
       ### Functions and distributions ###
__________________________________________________

0.23                                    0.788361
0.24                                    0.7494638
0.25                                    0.7586377
0.26                                    0.7696496
0.27                                    0.7247465
0.28                                    0.7176269
0.29                                    0.6983079
0.3                                     0.6574745
0.31                                    0.6611304
0.32                                    0.6340215
0.33                                    0.6143755
0.34                                    0.6458825
0.35                                    0.621913
0.36                                    0.6077752
0.37                                    0.5855592
0.38                                    0.6105463
0.39                                    0.5994551
0.4                                     0.5543143
0.41                                    0.5572329
0.42                                    0.5724751
0.43                                    0.5364974
0.44                                    0.5136489
0.45                                    0.5241571
0.46                                    0.4794931
0.47                                    0.5215661
0.48                                    0.4687039
0.49                                    0.4585948
0.5                                     0.4404198
0.51                                    0.4310482
0.52                                    0.4687551
0.53                                    0.4216162
0.54                                    0.3996352
0.55                                    0.4456593
0.56                                    0.4484618
0.57                                    0.402508
0.58                                    0.4118905
0.59                                    0.4268637
0.6                                     0.3966291
0.61                                    0.4099379
0.62                                    0.378023
0.63                                    0.384835
0.64                                    0.3860825
0.65                                    0.3370215
0.66                                    0.3508122
0.67                                    0.3420193
0.68                                    0.3331696
0.69                                    0.3502363
0.7                                     0.3334222
0.71                                    0.2832238
0.72                                    0.31317
0.73                                    0.3023778
0.74                                    0.3147379
0.75                                    0.3414847
0.76                                    0.3030171
0.77                                    0.3049348
0.78                                    0.2708623
0.79                                    0.2864565
0.8                                     0.311313
0.81                                    0.2872559
0.82                                    0.2546685
0.83                                    0.2507523
0.84                                    0.1979386
0.85                                    0.1735384
0.86                                    0.174179
0.87                                    0.1407552
0.88                                    0.1236343
0.89                                    0.1185099
0.9                                     0.1030155
0.91                                    0.0742737
0.92                                    0.068565
0.93                                    0.0549409
0.94                                    0.0436143
0.95                                    0.0274736
0.96                                    0.0141926
0.97                                    0.0056058
0.98                                    0.0035733
0.99                                    0.0028935
1.0                                     0.0001801


# Two-point Correlation Function (1/um)
--------------------------------------------------
lag (px)                                Value
--------------------------------------------------
0.5                                     0.2308402
1.0                                     0.2225157
1.5                                     0.2258095
2.0                                     0.2037896
2.5                                     0.1872401
3.0                                     0.1768701
3.5                                     0.1835382
4.0                                     0.1683102
4.5                                     0.1565915
5.0                                     0.1414459
5.5                                     0.1363963
6.0                                     0.1318291
6.5                                     0.13398
7.0                                     0.126151
7.5                                     0.1226163
8.0                                     0.1142724
8.5                                     0.1083705
9.0                                     0.1065849
9.5                                     0.1030405
10.0                                    0.101259
10.5                                    0.0945993
11.0                                    0.0929801
11.5                                    0.095429
12.0                                    0.0928535
12.5                                    0.0919283
13.0                                    0.0871113
13.5                                    0.08489
14.0                                    0.0846142
14.5                                    0.0759977
15.0                                    0.0719972
15.5                                    0.0726414
16.0                                    0.0788615
16.5                                    0.0767541
17.0                                    0.07136
17.5                                    0.0780274
18.0                                    0.0686535
18.5                                    0.0742238
19.0                                    0.0670381
19.5                                    0.0710443
20.0                                    0.0690702
20.5                                    0.0672663
21.0                                    0.06926
21.5                                    0.0672953
22.0                                    0.0662507
22.5                                    0.0706335
23.0                                    0.066657
23.5                                    0.0721233
24.0                                    0.0597045
24.5                                    0.0711267
25.0                                    0.0674931
25.5                                    0.0690943
26.0                                    0.0643636
26.5                                    0.0670157
27.0                                    0.0698273
27.5                                    0.062872
28.0                                    0.0548473
28.5                                    0.0698703
29.0                                    0.0654227
29.5                                    0.0585257
30.0                                    0.0618172
30.5                                    0.058756
31.0                                    0.0669634
31.5                                    0.0690225
32.0                                    0.0534358
32.5                                    0.0662241
33.0                                    0.0637484
33.5                                    0.0625051
34.0                                    0.0600359
34.5                                    0.0681645
35.0                                    0.0617042
35.5                                    0.0600766
36.0                                    0.0651274
36.5                                    0.0617198
37.0                                    0.0629053
37.5                                    0.0631302
38.0                                    0.0611532
38.5                                    0.0597214
39.0                                    0.0613821
39.5                                    0.0642768
40.0                                    0.0628001
40.5                                    0.0559909
41.0                                    0.0617176
41.5                                    0.0564042
42.0                                    0.0613683
42.5                                    0.0618577
43.0                                    0.0637022
43.5                                    0.0608478
44.0                                    0.0620834
44.5                                    0.0585577
45.0                                    0.0591633
45.5                                    0.064955
46.0                                    0.0593746
46.5                                    0.0640156
47.0                                    0.0668622
47.5                                    0.065299
48.0                                    0.0566681
48.5                                    0.0606557
49.0                                    0.0577522
49.5                                    0.0601223
50.0                                    0.0583248


# Pore Radius Distribution (um)
--------------------------------------------------
Cumulative probability                  Value
--------------------------------------------------
0.01                                    2.3088154
0.02                                    2.3550095
0.03                                    2.7457438
0.04                                    2.713767
0.05                                    2.7180354
0.06                                    2.8935733
0.07                                    2.9895409
0.08                                    2.9635522
0.09                                    3.2699308
0.1                                     3.1648103
0.11                                    3.1203829
0.12                                    3.3706201
0.13                                    3.2112698
0.14                                    3.3894573
0.15                                    3.3341372
0.16                                    3.3094145
0.17                                    3.6002241
0.18                                    3.5849866
0.19                                    3.5767845
0.2                                     3.6739543
0.21                                    4.0115187
0.22                                    3.7170533
0.23                                    4.1613269
0.24                                    4.1162651
0.25                                    3.9829293
0.26                                    4.0021336
0.27                                    4.0606236
0.28                                    4.0185849
0.29                                    4.3263593
0.3                                     4.3541721
0.31                                    4.491059
0.32                                    4.3271667
0.33                                    4.219246
0.34                                    4.2052227
0.35                                    4.5691414
0.36                                    4.5254696
0.37                                    4.8675724
0.38                                    4.4349261
0.39                                    4.8758236
0.4                                     4.7507323
0.41                                    4.9627448
0.42                                    5.0761192
0.43                                    5.3862461
0.44                                    4.7659339
0.45                                    4.9281374
0.46                                    4.9573896
0.47                                    5.7075026
0.48                                    4.9234848
0.49                                    5.3397574
0.5                                     5.1371163
0.51                                    5.4394748
0.52                                    5.3366938
0.53                                    5.5003204
0.54                                    5.2840882
0.55                                    5.5961782
0.56                                    5.4617925
0.57                                    6.0238415
0.58                                    5.8566475
0.59                                    5.6231185
0.6                                     6.1986689
0.61                                    5.9708286
0.62                                    5.9911571
0.63                                    5.9497227
0.64                                    6.7179294
0.65                                    6.0186862
0.66                                    6.399304
0.67                                    6.2164521
0.68                                    6.5089548
0.69                                    6.8055084
0.7                                     6.9616853
0.71                                    6.920595
0.72                                    6.7617181
0.73                                    6.5096667
0.74                                    7.351869
0.75                                    6.5864566
0.76                                    7.4645724
